Account Name,Country,Domain
Capstan Therapeutics,United States,capstantx.com
Kelonia Therapeutics,United States,keloniatx.com
Umoja Biopharma,United States,umoja-biopharma.com
Interius BioTherapeutics,United States,interiusbio.com
Orna Therapeutics,United States,ornatx.com
Arsenal Biosciences (ArsenalBio),United States,arsenalbio.com
Vittoria Biotherapeutics,United States,vittoriabio.com
Poseida Therapeutics,United States,poseida.com
Caribou Biosciences,United States,cariboubio.com
Century Therapeutics,United States,centurytx.com
Artiva Biotherapeutics,United States,artivabio.com
Fate Therapeutics,United States,fatetherapeutics.com
NKarta Inc,United States,nkartatx.com
Adicet Bio,United States,adicetbio.com
Shoreline Biosciences,United States,shorelinebio.com
Sana Biotechnology,United States,sana.com
Vor Biopharma,United States,vorbio.com
Allogene Therapeutics (non-pivotal programs),United States,allogene.com
Atara Biotherapeutics,United States,atarabio.com
Precision BioSciences,United States,precisionbiosciences.com
Editas Medicine,United States,editasmedicine.com
Verve Therapeutics,United States,vervetx.com
Prime Medicine,United States,primemedicine.com
Tune Therapeutics,United States,tunetx.com
nChroma Bio (Chroma + Nvelop merger),United States,nchromabio.com
Metagenomi,United States,metagenomi.co
Mammoth Biosciences,United States,mammoth.bio
Excision BioTherapeutics,United States,excision.bio
Tome Biosciences,United States,tome.bio
Korro Bio,United States,korrobio.com
Wave Life Sciences,United States,wavelifesciences.com
SalioGen Therapeutics,United States,saliogen.com
Ensoma,United States,ensoma.com
Generation Bio,United States,generationbio.com
Dyne Therapeutics,United States,dyne-tx.com
Solid Biosciences,United States,solidbio.com
Passage Bio,United States,passagebio.com
Voyager Therapeutics,United States,voyagertherapeutics.com
Sangamo Therapeutics,United States,sangamo.com
Lexeo Therapeutics,United States,lexeotx.com
Atsena Therapeutics,United States,atsenatx.com
Encoded Therapeutics,United States,encoded.com
Capsida Biotherapeutics,United States,capsida.com
Dyno Therapeutics,United States,dynotx.com
Ring Therapeutics,United States,ringtx.com
Affinia Therapeutics,United States,affiniatx.com
Neurocrine Biosciences CGT programs,United States,neurocrine.com
Affini-T Therapeutics,United States,affini-t.com
Aspen Neuroscience,United States,aspenneuroscience.com
Vertex Pharmaceuticals (VX-264),United States,vrtx.com
BioRestorative Therapies,United States,biorestorative.com
Platelet BioGenesis,United States,plateletbiogenesis.com
Theriva Biologics,United States,therivabio.com
Akouos (Eli Lilly),United States,akouos.com
Decibel Therapeutics (Regeneron),United States,decibeltx.com
Opus Genetics,United States,opusgtx.com
Luminary Therapeutics,United States,luminarytx.com
MaxCyte,United States,maxcyte.com
ElevateBio / BaseCamp,United States,elevate.bio
LifeEDIT (ElevateBio),United States,lifeedit.com
Asimov,United States,asimov.com
Immusoft,United States,immusoft.com
Xyphos Biosciences (Astellas),United States,xyphos.com
Legend Biotech (non-Carvykti pipeline),United States,legendbiotech.com
Cero Therapeutics,United States,cerotx.com
Cellares,United States,cellares.com
Obsidian Therapeutics,United States,obsidiantx.com
Elicio Therapeutics,United States,elicio.com
Senti Biosciences,United States,sentibio.com
Turnstone Biologics,United States,turnstonebio.com
CARGO Therapeutics,United States,cargo-tx.com
