Account Name,Country,Domain
EsoBiotec,Belgium,esobiotec.com
Galapagos Cell Therapy Unit,Belgium,galapagos.com
Cellectis,France,cellectis.com
Imugene Ltd,Australia,imugene.com
AviadoBio,United Kingdom,aviadobio.com
Axovia Therapeutics,United Kingdom,axoviatx.com
Medigene AG,Germany,medigene.com
T-Knife Therapeutics,Germany,t-knife.com
TILT Biotherapeutics,Finland,tiltbio.com
Tessa Therapeutics,Singapore,tessatherapeutics.com
Sernova Corp,Canada,sernova.com
Pancella Inc,Canada,pancella.com
Transgene SA,France,transgene.fr
Virogin Biotech (VG Bio),Canada,virogin.com
SOTIO Biotech,Czech Republic,sotio.com
Sensorion,France,sensorion.com
IASO Biotechnology (US/EU autoimmune),China,iasobio.com
CARsgen Therapeutics (autoimmune programs),China,carsgen.com
Oxford Biomedica,United Kingdom,oxb.com
CRISPR Therapeutics (non-CASGEVY programs),Switzerland,crisprtx.com
AbelZeta Pharma (ex Cellular Biomedicine Group),China,abelzeta.com
AstraZeneca-Cellectis JV programs,United Kingdom,astrazeneca.com
Achilles Therapeutics (wind-down),United Kingdom,achillestx.com
