Account Name,Country,Domain
Novartis AG,Switzerland,novartis.com
Ferring International Center SA,Switzerland,ferring.com
CSL Ltd,Australia,csl.com
Autolus Therapeutics Plc,United Kingdom,autolus.com
Immunocore Ltd,United Kingdom,immunocore.com
Gamida Cell Ltd,Israel,gamida-cell.com
Mesoblast Ltd,Australia,mesoblast.com
enGene Holdings Inc,Canada,engene.com
Laboratoires Pierre Fabre SA,France,pierre-fabre.com
F. Hoffmann-La Roche Ltd,Switzerland,roche.com
Boehringer Ingelheim,Germany,boehringer-ingelheim.com
Janssen-Cilag Pty Ltd,Australia,janssen.com.au
Orchard Therapeutics Ltd,United Kingdom,orchard-tx.com
Immatics NV,Germany,immatics.com
AstraZeneca Plc,United Kingdom,astrazeneca.com
Bayer AG,Germany,bayer.com
Gracell Biotechnologies Inc,China,gracellbio.com
MeiraGTx Holdings Plc,United Kingdom,meiragtx.com
Beacon Therapeutics Ltd,United Kingdom,beacontherapeutics.co.uk
Adaptimmune Therapeutics Plc,United Kingdom,adaptimmune.com
GenSight Biologics SA,France,gensight-biologics.com
iTeos Therapeutics,Belgium,iteostherapeutics.com
Helixmith Co Ltd,South Korea,helixmith.com
UniQure NV,Netherlands,uniqure.com
BriaCell Therapeutics Corp,Canada,briacell.com
RHEACELL GmbH & Co KG,Germany,rheacell.com
Corestemchemon Inc,South Korea,corestem.com
Bioniche Life Sciences Inc,Canada,bioniche.com
Novadip Biosciences SA,Belgium,novadip.com
Hadasit Medical Research,Israel,hadasit.co.il
Biostar Stem Cell Research Institute,South Korea,biostar-stemcell.com
Sumitomo Pharma Co Ltd,Japan,sumitomo-pharma.com
ProQR Therapeutics,Netherlands,proqr.com
