Account Name,Country,Domain
Novartis,United States,novartis.com
Gilead Sciences (Kite Pharma),United States,gilead.com
Bristol Myers Squibb,United States,bms.com
Johnson & Johnson / Legend Biotech,United States,jnj.com
Vertex Pharmaceuticals / CRISPR Therapeutics,United States,vrtx.com
Amgen (BioVex),United States,amgen.com
Sarepta Therapeutics,United States,sarepta.com
BioMarin Pharmaceutical,United States,biomarin.com
bluebird bio,United States,bluebirdbio.com
Genetix Biotherapeutics (prev. bluebird bio),United States,genetixbiotx.com
Krystal Biotech,United States,krystalbio.com
Iovance Biotherapeutics,United States,iovance.com
CSL Behring / uniQure,United States,cslbehring.com
Ferring Pharmaceuticals,United States,ferringusa.com
Spark Therapeutics (Roche),United States,sparktx.com
US WorldMeds (prev. Adaptimmune),United States,usworldmeds.com
Dendreon Pharmaceuticals (Viatris),United States,dendreon.com
PTC Therapeutics,United States,ptcbio.com
Abeona Therapeutics,United States,abeonatherapeutics.com
Precigen,United States,precigen.com
Neurotech Pharmaceuticals,United States,neurotechpharmaceuticals.com
Humacyte,United States,humacyte.com
Vericel Corporation,United States,vcel.com
CellTrans,United States,celltransinc.com
Sumitomo Pharma (prev. Enzyvant),United States,sumitomopharmaamerica.com
Mallinckrodt (Stratatech),United States,mallinckrodt.com
