Reporting Period:,Lifetime
Report Type:,Account Performance
Grouped By:,6sense Accounts
Time of Report:,Tue Jun 16 2026 10:47:01 GMT-0600


Campaign ID,6sense Company Name,6sense Country,6sense Domain,Impressions,Clicks,Spend,Website Engagement,Latest Impression,Influenced Form Fills,Video Error,Video Start,Video Skip,Video 25% Complete,Video 50% Complete,Video 75% Complete,Video 100% Complete,Mid-points,Completions,Completion rate,Cost per completed view (CPCV)
323379,"iECURE","United States","iecure.com","62","0","$0.47",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"iECURE","United States","iecure.com","1","0","$0.01",-,2026-06-13,"0","0","1","0","1","1","1","0","1","0","0.00%","$0.00"
323380,"Vertex Pharmaceuticals","United States","vrtx.com","325","3","$2.51",-,2026-06-09,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Vericel Corporation","United States","vcel.com","9","0","$0.08",-,2026-06-15,"0","0","9","0","7","6","4","2","6","2","22.22%","$0.04"
323380,"Vericel Corporation","United States","vcel.com","290","0","$2.24",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Vericel Corporation","United States","vcel.com","350","0","$2.65",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324927,"Vericel Corporation","United States","vcel.com","27","0","$0.25",-,2026-06-15,"0","0","25","0","16","14","13","13","14","13","48.15%","$0.02"
323379,"University Of California - Los Angeles","United States","ucla.edu","9,078","6","$68.76",New,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"University Of California - Los Angeles","United States","ucla.edu","588","1","$5.33",-,2026-06-14,"0","21","577","0","402","348","231","163","348","163","27.72%","$0.03"
323379,"Ultragenyx Pharmaceutical","United States","ultragenyx.com","314","1","$2.38",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Ultragenyx Pharmaceutical","United States","ultragenyx.com","12","0","$0.11",-,2026-06-15,"0","0","12","0","9","9","8","8","9","8","66.67%","$0.01"
323379,"US WorldMeds","United States","usworldmeds.com","121","0","$0.92",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324927,"US WorldMeds","United States","usworldmeds.com","4","0","$0.04",-,2026-06-14,"0","0","4","0","2","1","1","0","1","0","0.00%","$0.00"
324978,"US WorldMeds","United States","usworldmeds.com","4","0","$0.04",-,2026-06-13,"0","0","2","0","1","1","1","1","1","1","25.00%","$0.04"
323380,"US WorldMeds","United States","usworldmeds.com","95","0","$0.74",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Throne Biotechnologies","United States","thronebio.com","16","0","$0.12",-,2026-06-12,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Tenaya Therapeutics","United States","tenayatherapeutics.com","33","0","$0.25",-,2026-06-14,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Taysha Gene Therapies","United States","tayshagtx.com","91","0","$0.69",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Taysha Gene Therapies","United States","tayshagtx.com","5","0","$0.05",-,2026-06-14,"0","0","5","0","4","4","4","4","4","4","80.00%","$0.01"
323379,"TScan Therapeutics","United States","tscan.com","243","0","$1.84",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"TScan Therapeutics","United States","tscan.com","23","0","$0.21",-,2026-06-15,"0","0","23","0","21","21","19","15","21","15","65.22%","$0.01"
323379,"Sarepta Therapeutics","United States","sarepta.com","792","0","$6.00",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324927,"Sarepta Therapeutics","United States","sarepta.com","118","0","$1.10",-,2026-06-15,"0","0","112","0","79","70","60","50","70","50","42.37%","$0.02"
324978,"Sarepta Therapeutics","United States","sarepta.com","53","0","$0.48",-,2026-06-15,"0","0","51","0","37","33","26","23","33","23","43.40%","$0.02"
323380,"Sarepta Therapeutics","United States","sarepta.com","711","0","$5.50",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Replimune","United States","replimune.com","184","0","$1.39",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Replimune","United States","replimune.com","3","0","$0.03",-,2026-06-13,"0","0","3","0","2","1","0","0","1","0","0.00%","$0.00"
323379,"Rarity PBC","United States","raritypbc.com","18","0","$0.14",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"REGENXBIO","United States","regenxbio.com","243","0","$1.84",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"REGENXBIO","United States","regenxbio.com","23","0","$0.21",-,2026-06-15,"0","0","22","0","17","15","13","7","15","7","30.43%","$0.03"
323379,"Protara Therapeutics, Inc.","United States","protaratx.com","92","0","$0.70",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"ProKidney Corp.","United States","prokidney.com","144","0","$1.09",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"ProKidney Corp.","United States","prokidney.com","16","0","$0.15",-,2026-06-15,"0","0","16","0","13","11","10","10","11","10","62.50%","$0.01"
323380,"Precigen","United States","precigen.com","55","0","$0.42",-,2026-06-09,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"PolarityBio","United States","polaritybio.com","2","0","$0.02",-,2026-06-14,"0","0","2","0","1","1","1","0","1","0","0.00%","$0.00"
323379,"PolarityBio","United States","polaritybio.com","14","0","$0.10",-,2026-06-13,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Pfizer","United States","pfizer.com","3,647","1","$27.62",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Pfizer","United States","pfizer.com","723","0","$6.55",-,2026-06-15,"0","66","675","0","507","444","362","281","444","281","38.87%","$0.02"
323380,"PTC Therapeutics","United States","ptcbio.com","202","0","$1.56",-,2026-06-09,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Ocugen","United States","ocugen.com","124","0","$0.94",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Ocugen","United States","ocugen.com","4","0","$0.04",-,2026-06-14,"0","0","3","0","2","2","2","1","2","1","25.00%","$0.04"
323379,"Novartis","United States","novartis.com","3,227","0","$24.44",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Novartis","United States","novartis.com","524","0","$4.75",-,2026-06-15,"0","28","496","1","374","317","263","206","317","206","39.31%","$0.02"
323380,"Novartis","United States","novartis.com","2,798","1","$21.64",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324927,"Novartis","United States","novartis.com","799","3","$7.42",-,2026-06-15,"0","41","763","1","542","478","401","324","478","324","40.55%","$0.02"
324927,"Neurotech","United States","neurotechpharmaceuticals.com","13","0","$0.12",-,2026-06-14,"0","0","13","0","10","9","8","8","9","8","61.54%","$0.02"
323380,"Neurotech","United States","neurotechpharmaceuticals.com","62","0","$0.48",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Neurogene Inc.","United States","neurogene.com","92","0","$0.70",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Neurogene Inc.","United States","neurogene.com","4","0","$0.04",-,2026-06-15,"0","0","4","0","2","2","2","2","2","2","50.00%","$0.02"
323379,"Nanoscope Therapeutics","United States","nanostherapeutics.com","7","0","$0.05",-,2026-06-08,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"NS Pharma","United States","nspharma.com","115","0","$0.87",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"NS Pharma","United States","nspharma.com","2","0","$0.02",-,2026-06-13,"0","0","2","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Moderna","United States","modernatx.com","113","0","$1.02",-,2026-06-15,"0","3","108","0","78","66","56","40","66","40","35.40%","$0.03"
323379,"Moderna","United States","modernatx.com","506","1","$3.83",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Marker Therapeutics, Inc.","United States","markertherapeutics.com","12","0","$0.09",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323380,"Mallinckrodt Pharmaceuticals","United States","mallinckrodt.com","263","0","$2.03",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324927,"Mallinckrodt Pharmaceuticals","United States","mallinckrodt.com","51","0","$0.47",-,2026-06-15,"0","3","51","0","28","24","18","14","24","14","27.45%","$0.03"
324978,"Lyell Immunopharma","United States","lyell.com","5","0","$0.05",-,2026-06-15,"0","0","5","0","4","4","3","1","4","1","20.00%","$0.05"
323379,"Lyell Immunopharma","United States","lyell.com","189","0","$1.43",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
