Account Name,Country,Domain
Iovance Biotherapeutics,United States,iovance.com
Vertex Pharmaceuticals,United States,vrtx.com
Kite Pharma (Gilead),United States,kitepharma.com
Regeneron Pharmaceuticals,United States,regeneron.com
Precigen,United States,precigen.com
PTC Therapeutics,United States,ptcbio.com
Merck,United States,merck.com
Rocket Pharmaceuticals,United States,rocketpharma.com
Orca Bio,United States,orcabio.com
Juno Therapeutics (BMS),United States,bms.com
NanoScope Therapeutics,United States,nanostherapeutics.com
