6sense Company Name,6sense Country,6sense Domain,6sense Revenue Range,6sense Employee Range,Industry,Industry (Legacy)
4D Molecular Therapeutics,United States,4dmoleculartherapeutics.com,$1 - $1M,100 - 249,Biotech & Pharmaceuticals,Biotech
AIVITA Biomedical,United States,aivitabiomedical.com,$10M - $25M,20 - 49,Business Services,Software and Technology
AbbVie,United States,abbvie.com,$5B+,"10,000+",Biotech & Pharmaceuticals,Pharmaceuticals
Abeona Therapeutics,United States,abeonatherapeutics.com,$1M - $5M,100 - 249,Biotech & Pharmaceuticals,Biotech
Amgen,United States,amgen.com,$5B+,"10,000+",Biotech & Pharmaceuticals,Pharmaceuticals
Arcturus Therapeutics,United States,arcturusrx.com,$100M - $250M,100 - 249,Biotech & Pharmaceuticals,Biotech
AskBio Inc.,United States,askbio.com,$50M - $100M,500 - 999,"Biotech & Pharmaceuticals, Business Services",Government
Astellas Pharma,United States,astellas.com,$5B+,"10,000+",Biotech & Pharmaceuticals,Pharmaceuticals
Aurion Biotech,United States,aurionbiotech.com,$5M - $10M,100 - 249,Biotech & Pharmaceuticals,Biotech
Beam Therapeutics,United States,beamtx.com,$250M - $500M,500 - 999,"Business Services, Biotech & Pharmaceuticals",Biotech
"BioCardia, Inc.",United States,biocardia.com,$1 - $1M,10 - 19,Biotech & Pharmaceuticals,Biotech
BioMarin Pharmaceutical Inc.,United States,biomarin.com,$2.5B - $5B,"1,000 - 4,999","Biotech & Pharmaceuticals, Business Services",Biotech
Biogen,United States,biogen.com,$5B+,"5,000 - 9,999",Biotech & Pharmaceuticals,Pharmaceuticals
BlueRock Therapeutics,United States,bluerocktx.com,$25M - $50M,250 - 499,"Industrial Manufacturing, Biotech & Pharmaceuticals",Government
Brainstorm Cell Therapeutics Inc.,United States,brainstorm-cell.com,$5M - $10M,20 - 49,Biotech & Pharmaceuticals,Biotech
CG Oncology,United States,cgoncology.com,$5M - $10M,100 - 249,Biotech & Pharmaceuticals,Biotech
CSL,United States,csl.com,$5B+,"10,000+","Biotech & Pharmaceuticals, Financial Services",Biotech
