6sense Company Name,6sense Country,6sense Domain,6sense Revenue Range,6sense Employee Range,Industry,Industry (Legacy)
Abeona Therapeutics,United States,abeonatherapeutics.com,$1M - $5M,100 - 249,Biotech & Pharmaceuticals,Biotech
Amgen,United States,amgen.com,$5B+,"10,000+",Biotech & Pharmaceuticals,Pharmaceuticals
BioMarin Pharmaceutical Inc.,United States,biomarin.com,$2.5B - $5B,"1,000 - 4,999","Biotech & Pharmaceuticals, Business Services",Biotech
CSL,United States,csl.com,$5B+,"10,000+","Biotech & Pharmaceuticals, Financial Services",Biotech
CellTrans,United States,celltransinc.com,$1M - $5M,0 - 9,Healthcare & Medical,Software and Technology
Dendreon,United States,dendreon.com,$2.5B - $5B,500 - 999,"Industrial Manufacturing, Biotech & Pharmaceuticals",Biotech
Ferring Uro-Oncology,United States,ferringusa.com,$50M - $100M,"5,000 - 9,999",Biotech & Pharmaceuticals,Manufacturing
Genentech,United States,gene.com,$5B+,"10,000+","Industrial Manufacturing, Biotech & Pharmaceuticals",Healthcare and Medical
Genetix Biotherapeutics,United States,genetixbiotx.com,$50M - $100M,250 - 499,"Biotech & Pharmaceuticals, Business Services",Biotech
Gilead Sciences,United States,gilead.com,$5B+,"10,000+",Biotech & Pharmaceuticals,Manufacturing
Humacyte,United States,humacyte.com,$1M - $5M,100 - 249,Biotech & Pharmaceuticals,Biotech
Johnson & Johnson,United States,jnj.com,$5B+,"10,000+","Biotech & Pharmaceuticals, Healthcare & Medical",Pharmaceuticals
"Krystal Biotech, Inc.",United States,krystalbio.com,$250M - $500M,250 - 499,"Biotech & Pharmaceuticals, Business Services",Biotech
Mallinckrodt Pharmaceuticals,United States,mallinckrodt.com,$1B - $2.5B,"5,000 - 9,999","Biotech & Pharmaceuticals, Healthcare & Medical",Manufacturing
Neurotech,United States,neurotechpharmaceuticals.com,$1M - $5M,100 - 249,"Business Services, Biotech & Pharmaceuticals",Software and Technology
Novartis,United States,novartis.com,$5B+,"10,000+",Biotech & Pharmaceuticals,Biotech
Sarepta Therapeutics,United States,sarepta.com,$1B - $2.5B,500 - 999,"Biotech & Pharmaceuticals, Healthcare & Medical, Education",Biotech
US WorldMeds,United States,usworldmeds.com,$25M - $50M,50 - 99,Biotech & Pharmaceuticals,Furniture
Vericel Corporation,United States,vcel.com,$100M - $250M,250 - 499,"Business Services, Biotech & Pharmaceuticals",Biotech
